nombre,estado,municipio,ciudad,cp,lat,lon,id
Ampliación Laureano,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.741891841671254,-109.99205061812188,100000
Viaducto San Luis Potosí,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.950432235975335,-109.79456253833445,100001
Prolongación Ucrania,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.744058857434172,-110.0500775232443,100002
Callejón Aguascalientes,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.742379910298837,-110.01643195178028,100003
Circunvalación Norte Valadez,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.86813474270773,-109.93631310518917,100004
Calle Jaime,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.976706757481526,-110.0289690187594,100005
Boulevard Benítez,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.783641839939772,-109.77375181689382,100006
Eje vial Michoacán de Ocampo,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.85546513620395,-109.96518659824491,100007
Andador Chiapas,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.992169447447804,-109.84654582825797,100008
Diagonal Aguascalientes,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.759104463385107,-109.98624294994973,100009
Pasaje Pedroza,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.918641086482165,-109.85459701241122,100010
Pasaje Túnez,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.981270269052384,-109.76478911338856,100011
Viaducto Veracruz de Ignacio de la Llave,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.855528792012535,-109.9349687032421,100012
Avenida Filipinas,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.852346309477404,-110.01301775015313,100013
Callejón Rodrígez,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.928810321813437,-110.02529563257661,100014
Calle Norte Tijerina,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.88181166779236,-109.99367669542903,100015
Viaducto Camarillo,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.804165255670487,-109.9762895249871,100016
Avenida México,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.807183783028513,-110.0697879219507,100017
Andador San Luis Potosí,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.755068753667697,-109.78785644026063,100018
Avenida Sur Medina,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.801928894097326,-109.92030599696247,100019
Boulevard Tabasco,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.77960730894146,-110.03537829775183,100020
Corredor Durango,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.81796571472734,-109.89299248312847,100021
Pasaje Vázquez,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.849727261988356,-109.76091575104347,100022
Calle Sur Marín,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.762979411895614,-110.0649827598641,100023
Boulevard Norte Granados,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.98735379659615,-109.9449688106241,100024
Corredor Guajardo,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.92457269707556,-109.9302840359089,100025
Pasaje Tamaulipas,Baja California Sur,Los Cabos,Cabo San Lucas,23470,23.009337904715043,-110.0763860729783,100026
Circuito Hurtado,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.974169295869316,-109.83410840554961,100027
Corredor Papua Nueva Guinea,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.873013280214114,-109.93486841397466,100028
Corredor Sonora,Baja California Sur,Los Cabos,Cabo San Lucas,23470,23.044892591638437,-109.83623209630333,100029
Retorno Chihuahua,Baja California Sur,Los Cabos,Cabo San Lucas,23470,23.012454342347766,-109.98455766673644,100030
Andador República Democrática Popular Lao,Baja California Sur,Los Cabos,Cabo San Lucas,23470,22.797539952564716,-109.96040756717083,100031
Diagonal Saldivar,Baja California Sur,Los Cabos,Cabo San Lucas,23470,23.027806318206625,-109.88839773297272,100032
